         10688648 function calls (10600255 primitive calls) in 480.340 seconds

   Ordered by: cumulative time
   List reduced from 6342 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.377    1.377  469.731  469.731 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\trainer.py:98(train)
      421    2.423    0.006  292.423    0.695 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:172(integrate)
    24460   14.828    0.001  272.392    0.011 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:120(step_euler)
    24460    7.662    0.000  257.530    0.011 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:106(velocity_field)
    24460    8.574    0.000  249.868    0.010 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:80(compute_forces)
      400    0.003    0.000  172.010    0.430 C:\Python312\Lib\site-packages\torch\_tensor.py:592(backward)
      400    0.008    0.000  172.007    0.430 C:\Python312\Lib\site-packages\torch\autograd\__init__.py:243(backward)
      400    0.004    0.000  171.978    0.430 C:\Python312\Lib\site-packages\torch\autograd\graph.py:815(_engine_run_backward)
      400  171.974    0.430  171.974    0.430 {method 'run_backward' of 'torch._C._EngineBase' objects}
       21    0.000    0.000  148.515    7.072 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:368(forward)
    73380   15.354    0.000  129.903    0.002 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:188(intra_level_force)
   146760   73.187    0.000  112.203    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:114(_flat_force)
    73380    8.554    0.000  111.002    0.002 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:142(total_force)
       11    0.001    0.000   77.281    7.026 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:386(predict)
       10    0.002    0.000   74.582    7.458 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\training\metrics.py:13(compute_level_accuracy)
    48920   10.652    0.000   60.895    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:56(bottom_up_force)
    97840   48.664    0.000   49.482    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:127(project_up)
    48920   13.250    0.000   39.191    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\coupling.py:87(top_down_force)
    49764   25.288    0.001   25.678    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\projection\spaces.py:107(project_down)
    32/22    0.055    0.002   17.131    0.779 C:\Python312\Lib\site-packages\torch\_ops.py:316(fallthrough)
445540/445523    0.459    0.000   17.064    0.000 C:\Python312\Lib\site-packages\torch\_tensor.py:33(wrapped)
   445507   16.483    0.000   16.483    0.000 {method 'pow' of 'torch._C.TensorBase' objects}
    24460   10.062    0.000   16.288    0.001 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\integrator.py:68(_compute_convergence_fraction)
   441843   13.989    0.000   13.989    0.000 {built-in method torch.sum}
   546713    9.252    0.000    9.252    0.000 {built-in method torch.exp}
    88056    0.895    0.000    6.088    0.000 C:\Python312\Lib\site-packages\torch\functional.py:1698(norm)
    88056    5.116    0.000    5.116    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
1204/1203    0.002    0.000    4.856    0.004 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\utils\_param_validation.py:185(wrapper)
     1263    1.494    0.001    4.572    0.004 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:216(predict_class_scores)
        1    0.118    0.118    4.431    4.431 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\experiments\profile_training_runtime.py:46(load_fashion_mnist_subset)
        1    0.000    0.000    4.215    4.215 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_openml.py:754(fetch_openml)
        5    0.000    0.000    4.214    0.843 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_openml.py:62(wrapper)
        1    0.000    0.000    4.211    4.211 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_openml.py:572(_download_data_to_bunch)
        1    0.014    0.014    4.211    4.211 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_openml.py:436(_load_arff_response)
        1    0.000    0.000    3.329    3.329 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_openml.py:534(_open_url_and_load_gzip_file)
        1    0.000    0.000    3.329    3.329 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_arff_parser.py:463(load_arff_from_gzip_file)
        1    0.031    0.031    3.329    3.329 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\datasets\_arff_parser.py:311(_pandas_arff_parser)
        1    0.000    0.000    2.992    2.992 C:\Python312\Lib\site-packages\pandas\io\parsers\readers.py:868(read_csv)
        1    0.031    0.031    2.991    2.991 C:\Python312\Lib\site-packages\pandas\io\parsers\readers.py:583(_read)
        1    0.001    0.001    2.947    2.947 C:\Python312\Lib\site-packages\pandas\io\parsers\readers.py:1907(read)


