         1651868 function calls (1626999 primitive calls) in 1.976 seconds

   Ordered by: cumulative time
   List reduced from 5829 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    32/22    0.000    0.000   12.208    0.555 C:\Python312\Lib\site-packages\torch\_ops.py:316(fallthrough)
    25/20    0.000    0.000    2.774    0.139 C:\Python312\Lib\site-packages\torch\_ops.py:296(py_impl)
        3    0.000    0.000    1.849    0.616 C:\Python312\Lib\site-packages\torch\_ops.py:161(py_functionalize_impl)
        3    0.000    0.000    0.928    0.309 C:\Python312\Lib\site-packages\torch\_ops.py:268(__init__)
        1    0.000    0.000    0.906    0.906 C:\Python312\Lib\site-packages\torch\_higher_order_ops\triton_kernel_wrap.py:797(__init__)
       18    0.001    0.000    0.508    0.028 C:\Python312\Lib\site-packages\torch\_prims\__init__.py:356(<genexpr>)
        7    0.000    0.000    0.477    0.068 C:\Python312\Lib\site-packages\torch\_inductor\inductor_prims.py:18(make_prim)
        7    0.000    0.000    0.477    0.068 C:\Python312\Lib\site-packages\torch\_prims\__init__.py:267(_make_prim)
        1    0.000    0.000    0.455    0.455 C:\Python312\Lib\site-packages\torch\_dynamo\exc.py:1(<module>)
        1    0.000    0.000    0.452    0.452 C:\Python312\Lib\site-packages\torch\_dynamo\utils.py:1(<module>)
        1    0.000    0.000    0.444    0.444 C:\Python312\Lib\site-packages\torch\distributed\fsdp\__init__.py:1(<module>)
       90    0.002    0.000    0.438    0.005 C:\Python312\Lib\site-packages\torch\library.py:293(impl)
4962/4744    0.003    0.000    0.425    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.418    0.418 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\__init__.py:1(<module>)
        1    0.000    0.000    0.418    0.418 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\_fully_shard.py:1(<module>)
        8    0.000    0.000    0.409    0.051 C:\Python312\Lib\site-packages\torch\_library\custom_ops.py:145(inner)
        1    0.000    0.000    0.407    0.407 C:\Python312\Lib\site-packages\torch\fx\experimental\symbolic_shapes.py:1(<module>)
        1    0.000    0.000    0.384    0.384 C:\Python312\Lib\site-packages\torch\utils\_sympy\functions.py:1(<module>)
        1    0.000    0.000    0.377    0.377 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\_fsdp_init.py:1(<module>)
        1    0.000    0.000    0.375    0.375 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fully_shard\_fsdp_state.py:1(<module>)
        1    0.000    0.000    0.374    0.374 C:\Python312\Lib\site-packages\sympy\__init__.py:1(<module>)
        1    0.000    0.000    0.347    0.347 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_flat_param.py:1(<module>)
        1    0.000    0.000    0.345    0.345 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_fsdp_extensions.py:1(<module>)
        1    0.000    0.000    0.344    0.344 C:\Python312\Lib\site-packages\torch\distributed\fsdp\_shard_utils.py:1(<module>)
        1    0.000    0.000    0.342    0.342 C:\Python312\Lib\site-packages\torch\distributed\tensor\__init__.py:1(<module>)
        1    0.000    0.000    0.342    0.342 C:\Python312\Lib\site-packages\torch\distributed\tensor\_ops\__init__.py:1(<module>)
        1    0.000    0.000    0.321    0.321 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:285(fit)
        1    0.000    0.000    0.320    0.320 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\model\haml.py:189(_initialize_architecture)
        1    0.000    0.000    0.317    0.317 C:\Python312\Lib\site-packages\torch\distributed\tensor\_ops\_conv_ops.py:1(<module>)
       10    0.000    0.000    0.314    0.031 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\base.py:1372(wrapper)
        3    0.001    0.000    0.314    0.105 C:\Users\fredm\Desktop\Trajectory_pattern_recognition_system\github_app\haml\dynamics\level_vectorized.py:137(initialize_attractors)
        6    0.001    0.000    0.309    0.052 C:\Users\fredm\AppData\Roaming\Python\Python312\site-packages\sklearn\cluster\_kmeans.py:1426(fit)
        7    0.000    0.000    0.299    0.043 C:\Python312\Lib\site-packages\torch\_library\custom_ops.py:48(custom_op)
        1    0.000    0.000    0.292    0.292 C:\Python312\Lib\site-packages\torch\distributed\tensor\_dtensor_spec.py:1(<module>)
        1    0.000    0.000    0.291    0.291 C:\Python312\Lib\site-packages\torch\distributed\tensor\placement_types.py:1(<module>)
     1182    0.008    0.000    0.270    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
    18/16    0.000    0.000    0.254    0.016 C:\Python312\Lib\site-packages\torch\_subclasses\fake_impls.py:107(contains_tensor_types)
        1    0.000    0.000    0.237    0.237 C:\Python312\Lib\site-packages\torch\_functorch\_activation_checkpointing\graph_info_provider.py:1(<module>)
        1    0.000    0.000    0.236    0.236 C:\Python312\Lib\site-packages\networkx\__init__.py:1(<module>)
       12    0.000    0.000    0.225    0.019 C:\Python312\Lib\site-packages\torch\library.py:187(_register_fake)


